商品编码,品类,品牌
206068,打印机,联想
501964,打印机,惠普
975167,打印机,井井标记
1060555,打印机,富士
1262947,打印机,爱普生
1273547,打印机,惠普
1285450,打印机,富士施乐
1302628,打印机,爱普生
1450683,打印机,爱普生
1885374,打印机,LG
2341206,打印机,惠普
2341248,打印机,爱普生
2353670,打印机,惠普
2355319,打印机,爱普生
2853250,打印机,爱普生
2934968,笔记本,小米
3026517,笔记本,小米
3027103,笔记本,小米
3064789,笔记本,华为
3137713,笔记本,华为
3169161,笔记本,华为
3174925,笔记本,戴尔
3251626,笔记本,华硕
3281658,笔记本,联想
3533422,音箱,B&O
3543430,音箱,海威特
3770591,音箱,华为
3794329,音箱,朗琴
3808121,音箱,beats
3819585,音箱,瑞兰森
3862530,音箱,B&O
3909004,音箱,索爱
3998889,音箱,漫步者
4006436,音箱,漫步者
4006606,音箱,漫步者
4113294,音箱,乐廷
4167804,耳机,缤特力
4180745,耳机,omu
4183647,耳机,beats
4207165,耳机,海威特
4207169,耳机,OKSJ
4207613,耳机,beats
4207625,耳机,beats
4207627,耳机,因卓
4276978,耳机,宾果
4303416,耳机,海威特
4303420,耳机,创新
4315536,耳机,飞利浦
4317011,耳机,城市之音
4317149,耳机,宾果
4331143,耳机,宾果
4331183,耳机,宾果
4331187,耳机,宾果
4335045,耳机,飞利浦
4335133,耳机,飞朵
4360188,耳机,飞利浦
4387817,耳机,铁三角
4409727,投影机,坚果
4494706,投影机,极米
4534739,投影机,爱普生
4599119,投影机,米家
4615006,投影机,英微
4634661,投影机,优派
4642345,投影机,明基
4643435,投影机,明基
4643437,投影机,真美
4664829,投影机,亿立
4694174,投影机,优铂
4755313,投影机,优派
4756825,投影机,3M
4786947,投影机,NEC
4826839,投影机,L-mix
4887235,平板,小米
4888026,平板,小米
4890662,平板,微软
4890664,平板,华为
4890666,平板,微软
4910938,平板,微软
4940255,平板,微软
4940275,平板,华为
5001143,平板,华为
5008405,平板,酷比魔方
5030833,平板,JDtab
5059138,平板,微软
5059150,平板,华为
5059170,平板,联想
5059180,一体机,瀚视奇
5088073,一体机,HQisQnse
5092735,一体机,技讯
5092755,一体机,惠普
5092757,一体机,联想
5092759,一体机,华硕
5092761,一体机,富沐
5092763,一体机,联想
5092773,一体机,华硕
5111452,一体机,联想
5112180,一体机,联想
5112224,一体机,联想
5143957,一体机,海尔
5148367,一体机,华硕
