dt,商品编码,用户浏览ID
2018/6/1,206068,100000007421 
2018/6/2,501964,100000014716 
2018/6/3,975167,100000069464 
2018/6/4,1060555,100000074839 
2018/6/5,1262947,100000074925 
2018/6/6,1273547,100000134249 
2018/6/7,1285450,100000134277 
2018/6/8,1302628,100000134793 
2018/6/9,1450683,100000158841 
2018/6/10,1885374,100000187324 
2018/6/11,2341206,100000187326 
2018/6/12,2341248,100000200669 
2018/6/13,2353670,100000207532 
2018/6/14,2355319,100000253890 
2018/6/15,2853250,100000308301 
2018/6/16,2934968,100000324457 
2018/6/17,3026517,100000324507 
2018/6/1,3027103,100000339293 
2018/6/2,3064789,100000342180 
2018/6/3,3137713,100000342192 
2018/6/4,3169161,100000342234 
2018/6/5,3174925,100000397189 
2018/6/6,3251626,100000401618 
2018/6/7,3281658,100000419417 
2018/6/8,3533422,100000419427 
2018/6/9,3543430,100000419459 
2018/6/10,3770591,100000419465 
2018/6/11,3794329,100000436237 
2018/6/12,3808121,100000436253 
2018/6/13,3819585,100000502648 
2018/6/14,3862530,100000529143 
2018/6/15,3909004,100000529351 
2018/6/16,3998889,100000529353 
2018/6/17,4006436,100000542290 
2018/6/1,4006606,100000558876 
2018/6/2,4113294,100000612355 
2018/6/3,4167804,100000612409 
2018/6/4,4180745,100000612411 
2018/6/5,4183647,100000633401 
2018/6/6,4207165,100000668210 
2018/6/7,4207169,100000668248 
2018/6/8,4207613,100000668310 
2018/6/9,4207625,100000668330 
2018/6/10,4207627,100000676959 
2018/6/11,4276978,100000676961 
2018/6/12,4303416,100000676963 
2018/6/13,4303420,100000683723 
2018/6/14,4315536,100000699694 
2018/6/15,4317011,100000699696 
2018/6/16,4317149,100000699710 
2018/6/17,4331143,100000699712 
2018/6/1,4331183,100000699728 
2018/6/2,4331187,100000699730 
2018/6/3,4335045,100000699732 
2018/6/4,4335133,100000699734 
2018/6/5,4360188,100000700300 
2018/6/6,4387817,100000731380 
2018/6/7,4409727,100000731384 
2018/6/8,4494706,100000731388 
2018/6/9,4534739,100000731406 
2018/6/10,4599119,100000758264 
2018/6/11,4615006,100000763055 
2018/6/12,4634661,100000763069 
2018/6/13,4642345,100000765840 
2018/6/14,4643435,100000765864 
2018/6/15,4643437,100000765870 
2018/6/16,4664829,100000765872 
2018/6/17,4694174,100000765874 
2018/6/1,4755313,100000765882 
2018/6/2,4756825,100000795170 
2018/6/3,4786947,100000813707 
2018/6/4,4826839,100000830211 
2018/6/5,4887235,100000895798 
2018/6/6,4888026,100000895826 
2018/6/7,4890662,100000895846 
2018/6/8,4890664,100000895848 
2018/6/9,4890666,100000913941 
2018/6/10,4910938,100000914431 
2018/6/11,4940255,100000914447 
